S_1_1	aB	4_1
S_4_1	aBCDefgH	12a0506
S_4_1	abCDEFgH	12a0512
S_4_1	abAbCDEFgh	12a0515
S_4_1	abcBcDEFgh	12a0516
S_4_1	abCdeFFghGfh	12a0517
S_4_1	aBcdefgH	12a0521
S_4_1	abCdefGH	12a0528
S_4_1	abcDefGH	12a0535
S_4_1	abcdEfgH	12a0536
S_4_1	abcDefgH	12a0541
S_4_1	abAcbdCdEFgh	12a0561
S_4_1	abcBcDEfgh	12a0565
S_4_1	abAbCDefgh	12a0569
S_4_1	abcDEfGH	12a0579
S_4_1	abcDEFgH	12a0583
S_4_1	abcdEFgH	12a0584
S_4_1	abcdeDFEGj	12a0621
S_4_1	aabAcBDCeDgJEf	12a0629
S_4_1	abcbDCeDfEgJ	12a0630
S_4_1	abcdCCedFEGj	12a0637
S_4_1	abcdEfGH	12a0649
S_4_1	abcdeFgH	12a0651
S_4_1	abcBdCeDFEGj	12a0662
S_4_1	abcdeDgJEf	12a0664
S_4_1	abcDefgJ	12a0681
S_4_1	aBcdCeDFEGHJ	12a0683
S_4_1	abCBdCefegFhjE	12a0702
S_4_1	abcDCeDffGFEhJ	12a0706
S_4_1	aBcDCeDffGFEhJ	12a0708
S_4_1	abcdCeDFgjEF	12a0768
S_4_1	abcBdceDGJeF	12a0776
S_4_1	abAcbdCedfEgFJ	12a0777
S_4_1	abcDeeFEgJ	12a0886
S_4_1	abcdCedfGFEJeF	12a0901
S_4_1	abcdCedfGFeJEF	12a0918
S_4_1	abAcBdCeDfEfGJ	12a0968
S_4_1	abcDeFGH	12a1039
S_4_1	abcdeFgJEf	12a1045
S_4_1	abcdCedjEDFEgF	12a1049
S_4_1	abcBDCeDfEgj	12a1070
S_4_1	abcDCCedfEgj	12a1074
S_4_1	abcBDCedFEGj	12a1076
S_4_1	abcDeDfEgj	12a1080
S_4_1	abcbDCeDFEGj	12a1081
