manifold,surface,monodromy,dilatation,polynomial coefficients,singularity orders,puncture orders,primitive,abelian
12n0757,S_3_1,abacBDeDCHcd,6.11237160667,"[1, -8, 12, -2, -5, -2, 12, -8, 1]","[3, 3, 3, 7]",[7],True,False
12n0763,S_3_1,abaCBAdCBehC,8.54672108686,"[1, -10, 14, -15, 14, -10, 1]","[3, 3, 8]",[8],True,False
12n0768,S_3_1,abbcbDCEGh,2.24200208018,"[1, 0, -3, -4, -1, 1, -1, -4, -3, 0, 1]","[2, 3, 3, 3, 3, 3, 3, 3, 3]",[2],True,False
12n0780,S_3_1,abacbGhCBDCEd,5.75070402786,"[1, -7, 7, 1, 1, -4, 1, 1, 7, -7, 1]","[3, 3, 3, 3, 3, 5]",[5],True,False
12n0798,S_3_1,abAcbdEDCHCD,4.62891806951,"[1, -5, 1, 4, -4, 4, 1, -5, 1]","[3, 3, 3, 3, 6]",[6],True,False
12n0818,S_3_1,abAcbdCCeH,6.33808962121,"[1, -7, 3, 8, -4, 8, 3, -7, 1]","[3, 3, 3, 3, 6]",[6],True,False
12n0826,S_3_1,abcBdeHCdEG,5.87163308684,"[1, -9, 20, -7, -19, 26, -19, -7, 20, -9, 1]","[3, 3, 3, 3, 3, 5]",[5],True,False
12n0835,S_3_1,aabCBADCBeDCgH,2.71571867708,"[1, -2, -2, -1, 2, 2, 2, 2, 2, -1, -2, -2, 1]","[1, 3, 3, 3, 3, 3, 3, 3, 3, 3]",[1],True,False
12n0847,S_3_1,abAcBdEDChcd,4.05016715449,"[1, -4, -2, 8, -2, -4, 1]","[3, 3, 3, 3, 6]",[6],True,False
12n0870,S_3_1,abAbCBDCegH,3.3679961743,"[1, -4, 2, 0, 2, -5, 12, -5, 2, 0, 2, -4, 1]","[3, 3, 3, 3, 3, 3, 3, 3]",[3],True,False
12n0871,S_3_1,abaCBAdcBEGhC,6.56028854922,"[1, -8, 10, -5, 12, -22, 12, -5, 10, -8, 1]","[3, 3, 3, 3, 3, 5]",[5],True,False
12n0878,S_3_1,abacBdcBHCDe,7.58416827078,"[1, -9, 12, -11, 12, -9, 1]","[3, 3, 8]",[8],True,False
10_2,S_4_1,abcdefgH,2.01128715144,"[1, -3, 3, -3, 3, -3, 3, -3, 1]","[2, 8, 8]",[2],True,True
10_5,S_4_1,abcdefGH,1.73887479445,"[1, -1, 0, -2, 0, 0, 0, -2, 0, -1, 1]","[2, 3, 3, 7, 7]",[2],True,False
10_9,S_4_1,abcdeFGH,1.63557312992,"[1, -2, 2, -3, 2, -2, 1]","[2, 4, 4, 6, 6]",[2],True,True
10_17,S_4_1,abcdEFGH,1.60750644419,"[1, -1, 0, 0, 0, -4, 0, 0, 0, -1, 1]","[2, 5, 5, 5, 5]",[2],True,False
10_46,S_4_1,abcdefgJ,2.25716110581,"[1, -3, 3, -4, 4, -5, 4, -4, 3, -4, 4, -5, 4, -4, 3, -3, 1]","[2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",[2],True,False
10_47,S_4_1,abcdeFGj,2.07714444348,"[1, -3, 4, -7, 9, -11, 12, -13, 14, -13, 12, -11, 9, -7, 4, -3, 1]","[2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",[2],True,False
10_48,S_4_1,abcdEFGJ,1.86025407928,"[1, -2, 0, 0, 2, -3, 2, 0, 0, -2, 1]","[2, 3, 3, 3, 3, 3, 3, 5, 5]",[2],True,False
10_62,S_4_1,abcdCedfEGHj,1.95375473981,"[1, -2, 1, -3, 3, -2, 3, -4, 3, -2, 3, -3, 1, -2, 1]","[2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",[2],True,False
10_64,S_4_1,abcdCeDFEGHJ,1.78164359861,"[1, -1, -1, 0, -1, -1, 1]","[2, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4]",[2],True,False
10_82,S_4_1,abcdedFEGJ,2.17230338423,"[1, -3, 2, 0, -1, -1, 2, 0, 3, -4, 3, 0, 2, -1, -1, 0, 2, -3, 1]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",[3],True,False
10_85,S_4_1,abcdeDfEgJ,2.33800825437,"[1, -3, 2, 0, -3, 1, 0, 2, -3, 4, -3, 2, 0, 1, -3, 0, 2, -3, 1]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",[3],True,False
10_91,S_4_1,abcbdCeDFEGJ,2.17096592208,"[1, -3, 0, 6, -3, -5, 0, 10, 1, -15, 1, 10, 0, -5, -3, 6, 0, -3, 1]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",[3],True,False
10_94,S_4_1,abcBdCeDfEgJ,2.18345926191,"[1, -3, 0, 6, -3, -7, 6, 6, -3, -5, -3, 6, 6, -7, -3, 6, 0, -3, 1]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",[3],True,False
10_100,S_4_1,abcBdceDfGjeFG,2.51582402614,"[1, -3, 0, 5, -4, -5, 8, -1, -5, 6, -5, -1, 8, -5, -4, 5, 0, -3, 1]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",[3],True,False
10_112,S_4_1,abcdCeDfGFEJef,2.41313896186,"[1, -3, 2, -1, 0, -1, -4, 2, -1, 2, -4, -1, 0, -1, 2, -3, 1]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4]",[4],True,False
10_139,S_4_1,abcdCedfEghj,1.40126836794,"[1, 0, -1, -1, -1, 0, 1]",[14],[14],True,True
11a7,S_4_1,abcdEFgJ,2.62956229515,"[1, -3, 0, 3, -2, 0, 6, 0, -2, 3, 0, -3, 1]","[3, 3, 3, 3, 4, 5, 5]",[4],True,False
11a9,S_4_1,abcdefGJ,2.80815129705,"[1, -3, 0, 1, 1, 1, 0, 1, 2, 1, 0, 1, 1, 1, 0, -3, 1]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4]",[4],True,False
11a28,S_4_1,abcBdCeDfEGJ,2.89466566156,"[1, -5, 6, 4, -13, 3, 12, -2, -13, -2, 12, 3, -13, 4, 6, -5, 1]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 5]",[5],True,False
11a33,S_4_1,aBCDEfgJ,2.34175872448,"[1, -3, 1, 0, 3, 0, -2, 3, 2, 3, -2, 0, 3, 0, 1, -3, 1]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4]",[4],True,False
11a34,S_4_1,abcDEfgJ,2.55096582226,"[1, -3, 2, -3, 0, 4, 2, 4, 0, -3, 2, -3, 1]","[3, 3, 3, 3, 3, 3, 4, 4, 4]",[4],True,False
11a35,S_4_1,abCDEfgJ,2.33836602473,"[1, -1, -2, -1, -3, -1, -2, -1, 1]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4]",[4],True,False
11a40,S_4_1,abcdEfgJ,2.67872373196,"[1, -1, -1, -6, -5, -8, -5, -6, -1, -1, 1]","[3, 3, 3, 3, 4, 5, 5]",[4],True,False
11a53,S_4_1,abcdedFEgJ,3.19435778029,"[1, -5, 8, -8, 3, -1, 0, 5, -8, 5, 0, -1, 3, -8, 8, -5, 1]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 5]",[5],True,False
11a55,S_4_1,abcdeFGJ,2.77269534258,"[1, -3, 2, -5, 5, -5, 2, -3, 1]","[3, 3, 4, 6, 6]",[4],True,False
11a62,S_4_1,abcdeFgj,3.6520806718,"[1, -3, -2, -1, -1, -1, -2, -1, 2, -1, -2, -1, -1, -1, -2, -3, 1]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4]",[4],True,False
11a66,S_4_1,abcbdCeDFEgJ,2.91641703554,"[1, -5, 6, 4, -13, 1, 16, 0, -19, 0, 16, 1, -13, 4, 6, -5, 1]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 5]",[5],True,False
11a68,S_4_1,abcdeDfEGJ,3.08644073098,"[1, -5, 8, -8, 5, -1, 0, 3, -4, 3, 0, -1, 5, -8, 8, -5, 1]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 5]",[5],True,False
11a71,S_4_1,abCdEDfegJ,2.71376528259,"[1, -2, -2, -1, 3, 0, 1, 0, 3, -1, -2, -2, 1]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 5]",[5],True,False
11a72,S_4_1,abCdEDGjeF,2.74026604286,"[1, -2, -2, -1, 1, 4, -1, 4, 1, -1, -2, -2, 1]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 5]",[5],True,False
11a73,S_4_1,aBcdEDCfEdgFeJ,2.89908759982,"[1, -5, 8, -7, 6, -6, 1, 5, 1, -6, 6, -7, 8, -5, 1]","[3, 3, 3, 3, 3, 3, 3, 3, 6]",[6],True,False
11a74,S_4_1,aBCDEFGj,2.45154041,"[1, -3, 0, 3, 1, -1, 0, 1, 2, 1, 0, -1, 1, 3, 0, -3, 1]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4]",[4],True,False
11a76,S_4_1,abCBdcEDGjeF,2.77596440453,"[1, -5, 6, 4, -11, -1, 14, 2, -21, 2, 14, -1, -11, 4, 6, -5, 1]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 5]",[5],True,False
